i;Weights;BCW;CCW
0;1347.0;0.11578347578347578;0.015612869651565806
1;944.0;0.09925925925925926;0.006518876135953881
2;1133.0;0.10598290598290598;0.008686647590624135
3;1116.0;0.10860398860398858;0.006546171909852948
4;1648.0;0.07555555555555556;0.004114294417797261
5;1904.0;0.12980056980056978;0.003907630134216012
6;1183.0;0.11156695156695157;0.009466948188399282
7;1290.0;0.11464387464387464;0.008778639905097951
8;1011.0;0.14552706552706554;0.009881190671249677
9;1204.0;0.11350427350427351;0.006074094650357912
10;1237.0;0.08524216524216524;0.005177951998741637
11;1100.0;0.1272934472934473;0.006379288075116705
12;991.0;0.07943019943019942;0.005382509617925703
13;932.0;0.12809116809116808;0.013300441718977167
14;1579.0;0.09641025641025641;0.0028825269226189394
15;1263.0;0.13846153846153847;0.008891821336828825
16;1397.0;0.09071225071225071;0.007079023966891689
17;1130.0;0.12831908831908834;0.007210137162705038
18;1218.0;0.08957264957264958;0.007376453322401968
19;1347.0;0.11396011396011395;0.008779112189338334
20;1168.0;0.11760683760683761;0.011620761922174748
21;1532.0;0.09116809116809117;0.005173646799154324
22;1334.0;0.1233048433048433;0.008910209433132936
23;1045.0;0.11669515669515668;0.022883735035284385
24;1106.0;0.12854700854700854;0.006156577353429419
25;1164.0;0.0888888888888889;0.010601356848100806
26;1227.0;0.10962962962962963;0.006479984221727546
27;1035.0;0.1231908831908832;0.011768778066753187
28;1254.0;0.1043874643874644;0.008252861506166907
29;1188.0;0.10541310541310542;0.015664483669585158
30;927.0;0.10849002849002849;0.013551444192492258
31;1059.0;0.11065527065527066;0.017783394136452184
32;984.0;0.15202279202279204;0.008868051806168814
33;1122.0;0.14074074074074078;0.008330060410677614
34;1021.0;0.09105413105413104;0.013462935691921174
35;1549.0;0.14985754985754984;0.006502467090802876
36;1222.0;0.13424501424501425;0.010290572064182987
37;1052.0;0.13333333333333333;0.010396526937835113
38;1144.0;0.10188034188034188;0.00635055795976965
39;678.0;0.09948717948717949;0.009847642827403894
40;1349.0;0.09242165242165241;0.005103210165844725
41;1445.0;0.13401709401709402;0.023067292637403074
42;1264.0;0.14370370370370372;0.0251387062717099
43;1289.0;0.11327635327635328;0.008666404163679226
44;778.0;0.07692307692307691;0.00882754603126885
